t,phi_mean,phi_var,phi_max,phi_min,saturation_frac,plastic_frac,crystallized_frac,config_flux_mean,rotation_mean,torsion_rms,coherence_C,exchange_X,dCdX,local_coherence_mean,drive_S,drive_D,drive_F,drive_TH,drive_B,drive_E,drive_IBT,drive_ZBT
131,0.5168326157806061,0.005536096997259519,0.7432798446929896,0.06585554700211366,0.0,0.222900390625,0.0,0.009768999792225376,0.011001844979271737,0.11293233647627714,0.046424074884317386,640.8805579302713,-1.2704286272330862e-05,0.851817991987918,0.13426627745079295,0.1446190819204688,0.003792017263643222,9.923023550890378e-05,0.0,0.019341227333932204,0.0076381638083777344,0.007216546443298487
132,0.5169939197709275,0.00548175279161025,0.7288685479594124,0.07431682371349452,0.0,0.225341796875,0.0,0.009769123176010511,0.011000463943664489,0.11304180390833013,0.046448929647055326,634.1842216791877,-3.711695740177025e-06,0.8521016141887814,0.13400124225453386,0.1447131324185697,0.003805882424082529,0.00010092870619201396,0.0,0.019443606339187187,0.007643049420384689,0.007213064210587844
133,0.5177643312282627,0.005460828656968691,0.7304286505477169,0.06637540044223601,0.0,0.224609375,0.0,0.009767431926200637,0.010984730799193737,0.11335658261139707,0.046664482940838116,639.9944958946394,3.709864384877944e-05,0.852288892619424,0.13410277205845939,0.1447582975358597,0.003800728465161565,9.980130973433291e-05,0.0,0.01940021136180901,0.007643886625192725,0.007209036974507772
134,0.5182695707622103,0.005415849595116293,0.7480590419293542,0.08145702527047227,0.0,0.226806640625,0.0,0.009770366144966736,0.01097670087199551,0.11399558652347071,0.046779218219152374,650.459441477091,1.0963772091338427e-05,0.8524777866106814,0.13384468815040274,0.14497401274391358,0.0038187653908052918,0.00010059269569064107,0.0,0.01950733725295615,0.007654216481689736,0.007198989714650584
135,0.519794414562192,0.005370698443077079,0.7737271871909271,0.07139816970307741,0.0,0.2275390625,0.0,0.00977224467033562,0.010970367011384399,0.11377988313427823,0.04679602680035735,644.4284183215859,-2.7870198425005888e-06,0.8527523262772783,0.1337815774108832,0.14511547981341888,0.0038131156908539797,0.0001009597934951873,0.0,0.019541359255070636,0.007660744879159969,0.007189138995407444
136,0.521582132881413,0.005386024635576291,0.7728575070660698,0.06064044075746726,0.0,0.228515625,0.0,0.009776884225356608,0.010969289539501577,0.11419067050860993,0.04681933441117607,651.1838758651481,3.450189815926496e-06,0.8529844101462379,0.1336752584704612,0.1455424360774138,0.0038254209248288385,0.00010277654883202768,0.0,0.01965851633909886,0.007682092469844389,0.007168816476806243
137,0.522020518865113,0.005331222278161714,0.7710643205911658,0.07610623611541374,0.0,0.22998046875,0.0,0.00977533373733604,0.010951613113569183,0.11460060448580596,0.04673903274423391,652.4213901648857,-6.488948609255665e-05,0.8531342764707178,0.13348610394752491,0.14604299720679564,0.003850160320949209,0.00010765489357391351,0.0,0.019844719853860285,0.007708842232643348,0.007147792192381073
138,0.5223674251103342,0.005237321757677992,0.7673193553830265,0.07976679473096657,0.0,0.236328125,0.0,0.009777602825027933,0.010948811399996632,0.11460478513230656,0.04675201587685053,651.0521780676434,-9.482192454163244e-06,0.8533105080654502,0.1328247090887957,0.14616574528223164,0.003889575848647378,0.000110004548666211,0.0,0.02015800124047737,0.007714816968023275,0.007138238602897985
139,0.5225689576917852,0.0051486800534769825,0.7598810438749878,0.07547550248674041,0.0,0.236328125,0.0,0.009776695666941487,0.010941684669996597,0.1144836336631808,0.0467860086313417,654.3660978967011,1.0257566943263151e-05,0.853458053784732,0.13287507290877065,0.1462628790308936,0.0038878755105562343,0.00010928737943484193,0.0,0.02017428869352812,0.007717816655472621,0.007130081744714565
140,0.5218198332904755,0.005089902127251028,0.7525592610969587,0.07549449602909436,0.0,0.236328125,0.0,0.009775497155064202,0.010948546459836148,0.11401775877200183,0.046842876675361814,636.3433137000131,-3.1553417829064386e-06,0.8535638132633676,0.1329292737588142,0.14631930815369987,0.003884153218113951,0.00010887302107850774,0.0,0.020183443977061913,0.007718911068953215,0.007125216854299532
141,0.5223675004032704,0.00496022269008059,0.7536888643030717,0.09524415739892846,0.0,0.236328125,0.0,0.009771015440440664,0.010945645495008753,0.1139769663483305,0.04679553964972999,641.4882250420699,-9.200746618288871e-06,0.8537205397345324,0.13297534017895868,0.14610955332133319,0.003876990609855471,0.00010460262674506088,0.0,0.020151167700337435,0.0077056942186113295,0.00713482543136088
142,0.5218043055695278,0.004921493410307906,0.7418650816974309,0.08682169869044282,0.0,0.23583984375,0.0,0.009770386403401072,0.010936249154759834,0.11444154016259041,0.04673637431852216,646.7275402024597,-1.1292569619619747e-05,0.8538318104502807,0.1330783687068756,0.1462629001129157,0.0038781598402636815,0.00010265066328116764,0.0,0.02010756326112198,0.00771084782674549,0.007122464894859742
143,0.5214233542637157,0.00486355154844819,0.7304620650180224,0.09048982057326317,0.0,0.237060546875,0.0,0.00977169311690456,0.010929325651259564,0.11437013710256126,0.046701379862562876,647.1219271143618,-8.873128114345181e-05,0.8538759501122097,0.132943139158998,0.14610520555946782,0.0038902144251779305,9.78517098977163e-05,0.0,0.020078068754753917,0.0077006157986077226,0.007129320209214304
144,0.5221344767092164,0.004797455163832263,0.7485336420499774,0.09424397559822927,0.0,0.237548828125,0.0,0.009778099066781638,0.01091659623706687,0.11455605807255505,0.04671603951477338,646.167597032292,-1.536119680803245e-05,0.8539348989169729,0.1329273133127102,0.1459985391938404,0.0038917393009131464,9.560859472103786e-05,0.0,0.02006748470198483,0.007693445074916318,0.007132087246299826
145,0.5219118649072809,0.0047833493201427995,0.755988372621635,0.10787254419725427,0.0,0.235595703125,0.0,0.00977117412113147,0.010906850060850092,0.11477962703094484,0.046807139231847296,635.189189083314,-8.298080878147655e-06,0.8539826999502562,0.13318835561019318,0.14619765347858063,0.0038870242009098883,9.711439893000685e-05,0.0,0.020042233747209124,0.007703320001211149,0.007119620753543398
146,0.5229868811591172,0.004579080262417741,0.7444836942779652,0.11522857291163449,0.0,0.236083984375,0.0,0.009779847405929486,0.010912835741323873,0.11452183938762771,0.0468253908728244,637.4720714935115,7.994998294950404e-06,0.8540618945307715,0.1331324626400749,0.14613532217403868,0.0038849393797082315,9.550938640603752e-05,0.0,0.02002722550264205,0.007699589077393847,0.0071216358920475325
147,0.5240860680990037,0.0045390233369846465,0.7509045380661393,0.10204060128719433,0.0,0.240234375,0.0,0.009787128372387427,0.010904403229728457,0.1148132945085222,0.04681207008821553,640.2349361843458,-4.821366986613424e-06,0.8541183601646791,0.13275312697220326,0.1464363267245528,0.003928317103182472,9.411453766997401e-05,0.0,0.020216805221533612,0.007710363102148097,0.007100119458927891
148,0.5245722950607556,0.004475947150607023,0.7434090046360038,0.12066720087936296,0.0,0.241943359375,0.0,0.009785996891681241,0.0108980749525542,0.11490624313222189,0.04688106235721435,645.9144178875072,1.2147634697091563e-05,0.8542698580798394,0.1325513554476213,0.14674409906772107,0.003945853796023564,9.554379972976832e-05,0.0,0.02031172259212634,0.007725662334289387,0.007086175431801559
